Price,Ticker,Open,Open,Open,Open,Open,High,High,High,High,High,Low,Low,Low,Low,Low,Close,Close,Close,Close,Close,Volume,Volume,Volume,Volume,Volume
,,mean,median,max,min,std,mean,median,max,min,std,mean,median,max,min,std,mean,median,max,min,std,mean,median,max,min,std
17,CGAS5.SA,30.982547295334182,12.143844245729316,119.43815584525534,0.9411248552972077,38.75846331737829,35.32352564312669,13.338050842285156,163.2434832642382,1.0555361171698343,43.92511744849655,28.37898084199792,11.080989207670049,113.10566680734081,0.7606502881455867,35.541127633556194,32.178630104190425,12.066140174865723,119.99466705322266,0.9300527572631836,39.620336485421014,2178367.747368421,1161321.0,10618100.0,18047.0,2498148.5293246037
18,CMIG3.SA,3.232770096506707,2.2321040585869563,13.194649589362825,0.3984489868686439,2.8881323366829657,3.759111755104699,2.7973002474429576,14.490552185120734,0.4903988848183031,3.293019120551157,2.85571105128791,2.0094862602117205,12.66903780155579,0.3269325376425704,2.6541552139798568,3.355112181007862,2.2425780296325684,13.4374418258667,0.3984490633010864,3.0422825573829866,38812468.53,14151041.0,266438002.0,4787.0,64514629.71691261
19,CMIG4.SA,701.483924745592,2.8670286920534656,5956.320888522825,1.179367630825102,1373.3009933265523,818.9511164405698,3.4659900699469883,6838.673828125,1.417287766568458,1588.4108487509832,563.8980687047064,2.249132557906439,5489.653951662293,0.8223484662475149,1140.2747757692975,676.336116091013,2.845948338508606,5923.3330078125,1.1976301670074463,1358.2197833515302,570068143.07,467267122.0,2153008115.0,111454.0,446729209.14441997
20,CMIN3.SA,4.0973583507875615,3.882359153027938,6.428969834172472,2.135709980917909,1.1977030614833355,4.773096307455723,4.575217554847356,6.635026679262315,2.572992121663567,1.3046159048513768,3.4000212490365715,3.200289594030372,4.897703190058858,2.002624621059703,0.8973008601162645,4.058849528431892,3.8563605546951294,6.388296604156494,2.0976855754852295,1.1752229784860104,532962081.25,543404700.0,782814500.0,171142800.0,131531036.96376364
21,COGN3.SA,7.253582025521171,6.518901736890058,18.528100776698572,1.2559807060879795,4.63729689915701,8.607193277723512,9.006988087653037,19.868042894649097,1.5091240817613767,5.207584282406483,6.011365932258816,5.515419097053867,15.306546871580515,0.9541558566810867,3.9742412196766876,7.196116717962118,6.502213478088379,18.528100967407227,1.0612550973892212,4.650321971286476,1320270296.9423077,822249850.0,5179939800.0,7818.0,1092861062.4300635
22,CPFE3.SA,12.002322860687448,11.368498494494446,38.5099983215332,0.11052074283361435,10.012774323705058,13.335870177765862,12.523795080178253,39.0,0.1547289490699768,10.897755482649336,11.001011480745149,10.015103758052863,33.290000915527344,0.11052074283361435,9.263666587609968,12.315767448171973,11.479732036590576,38.5099983215332,0.12458666414022446,10.116797491042012,83371008.71,63249346.0,900492593.0,0.0,112111582.45082828
23,CPLE6.SA,2.193278788721507,1.4234510214667582,9.942851933991864,0.2453300869944849,2.3335383052171967,2.4891138614736508,1.648786049279076,10.614868205530923,0.34819972163042723,2.5786867314732804,1.9729721840985315,1.2356827690101455,9.146269814161592,0.23890065679351713,2.1703072721871166,2.274593212157488,1.4266152381896973,9.922027587890625,0.24600674211978912,2.4217213133552304,494939315.39,439999011.0,1248300900.0,57568399.0,248588015.954246
24,CSAN3.SA,8.444925678042686,6.633352874349777,21.86387415358309,1.4038379374811314,5.601472627787948,9.775852374611906,7.482921144198715,24.758033503446374,1.928815007209778,6.294353196565568,7.329216641292004,5.795347587651749,19.361703204896468,1.1698645519219457,4.898607374337374,8.498327286212476,6.695751190185547,21.74435043334961,1.4096876382827759,5.534703021615799,833990646.2857143,367867057.0,19866818930.0,207555200.0,2689112442.69718
25,CSNA3.SA,7.105539689091667,5.507857073237078,28.88843326432021,0.6088662433457401,5.4171784196661825,8.806820652585264,7.434074082672911,35.23616965674945,0.8667777639225981,6.404449467628412,5.833424101568564,4.715901650996792,23.5057941183291,0.5484695463892321,4.416275607081018,7.147146211862564,5.513118267059326,28.7576847076416,0.5876460671424866,5.351247351087954,755521250.39,524110100.0,10132853736.0,69715237.0,1349250769.6944113
26,CVCB3.SA,18.225237325079448,13.92745304107666,49.924871086579934,1.8700000047683716,13.981367210413937,21.376198490563407,18.288777893538075,53.302694456156594,2.5399999618530273,15.352671943648112,14.540486696200063,10.146324157714844,41.708765780158735,1.3300000429153442,11.793449567992752,17.999104436238607,14.128918647766113,49.91671371459961,1.3799999952316284,14.111452750056735,453048908.0222222,114561355.0,1737496710.0,13620645.0,523452604.07050323
27,CYRE3.SA,8.718569121191278,8.64577669982853,24.07460043843802,0.2825278043746948,6.352202508767551,10.43211695594997,9.880943931379614,26.44075614420887,0.31925639510154724,7.37169155160118,7.356925509683526,7.125280838779896,19.8274925540247,0.27546456456184387,5.316790167490752,8.850368628799915,8.732008457183838,24.066436767578125,0.2825278043746948,6.303799152045652,240852581.35,185346996.5,3332785176.0,80000.0,372421783.51013196
28,DASA3.SA,19.471516799091766,12.436343120173145,142.17444093980203,2.7300000190734863,20.623221812741225,24.514054268325715,13.971469978318876,239.8147070803235,3.130000114440918,32.834539528826824,15.96092289403281,10.394552612057378,68.86145178309944,1.6799999475479126,14.061501377197741,19.443039374586977,12.369999885559082,142.1744384765625,1.899999976158142,20.67983571256657,66002651.58024691,36603765.0,1249883004.0,5700.0,161405722.38850266
29,DXCO3.SA,6.388396711490124,5.773960820739526,16.868876780628238,1.323548436164856,2.9006110028329215,7.427521037424536,6.679310982679581,17.12096641101987,1.543557942891605,3.2706559293160633,5.437091375399188,5.131441139935593,13.087559516039656,0.9859763720283439,2.4470318470752024,6.404722712721143,5.753106594085693,16.66580581665039,1.3095799684524536,2.8686242312780568,154636694.6,146832012.5,388269500.0,9348227.0,79890515.27527997
30,ECOR3.SA,8.167268090696764,8.175127223892192,15.016465246506069,3.8444673855896396,2.32892288444205,9.326353751176947,8.945898963750853,17.439060816705176,4.911504063699034,2.548289602774925,7.002954191474218,6.9931418638607985,11.958733610398514,2.5812858027523147,2.0430591509376312,8.139769974401442,8.200193405151367,14.789630889892578,3.9935388565063477,2.3594805640368985,193558137.45762712,200243034.0,434382000.0,46628862.0,99197430.6881991
31,EGIE3.SA,14.946357529102166,12.628792932016532,40.90765189232687,0.988304078578949,11.898039095041788,16.584112346086833,13.917043607097053,43.88086255536151,1.1407854891859113,12.917502129728705,13.872755635684504,11.616863876801878,40.0928294537416,0.8047618981884795,11.095970526018437,15.300591653455859,12.652637004852295,41.00950241088867,0.988304078578949,11.96815158823842,63148454.75,57863937.5,300981754.0,3397.0,45946909.795873046
32,ELET3.SA,14.760105434483947,11.356788739182509,41.483061994781394,2.7669350606608383,10.593767657802804,17.370875134236247,13.282286918720335,47.335781791229486,3.855665163851091,11.843820679346228,12.490573692196905,9.369241634598636,37.26260930861964,2.586482679485427,9.382165586089608,14.97219997882843,11.350953102111816,41.66342544555664,2.784980297088623,10.70526485386168,166620702.0,88953457.0,945806100.0,37494.0,203170255.15944335
33,ELET6.SA,16.944326088780517,11.294173601330066,41.06768362519781,4.277763913611099,11.6495482721311,19.773558984727856,13.22618815365023,47.14525902877484,5.386120519750071,12.979859337317784,14.75741972600421,9.996204426403306,39.26692924615194,3.1769481240927746,10.455245535387553,17.342735248453476,11.448237895965576,41.06768798828125,4.234176158905029,11.803474813234205,113570453.0,107802250.0,324886200.0,0.0,61410827.97770703
34,ELPL4.SA,-31556.886827380564,13.973608619832984,16978.688918429358,-426550.1347477064,106383.6911792524,-21622.991866398213,17.555264105553395,17377.38460066089,-376139.66957104555,87018.06651418832,-34439.166892880094,10.489999771118164,31.77086012443501,-422672.40625,114305.31967366525,-23697.634307455508,14.554374694824219,16641.6328125,-422672.40625,93717.1073590661,45753513.63829787,43027400.0,149954400.0,0.0,39107345.420095846
35,EMAE4.SA,13.841614410699444,5.108843994833313,77.52082708370682,2.0590307297241486,19.298427899615398,16.907036059408984,6.1494849137668,87.98612516843313,2.4533135981234167,23.270583470321093,11.21227254285378,4.111660549740218,66.07768221503856,1.8462432594724596,14.91440793060059,14.176597213745117,5.108844041824341,77.52082061767578,2.1216156482696533,19.297821385074254,771286.0,355900.0,5571500.0,13000.0,1115197.632660814
36,EMBR3.SA,15.477634933094903,14.449032890182544,48.50009684326227,5.016541004180908,6.827913226602908,18.004508400556002,16.98286430330208,58.75954432318868,7.261758508721913,8.187751306995981,13.367458771836962,12.451062994894997,45.12357178470715,4.794053327602273,6.357947683630705,15.950092015266419,14.893879413604736,56.13224411010742,5.483368396759033,7.868498306187656,207237548.41,123333450.0,1111792300.0,8824900.0,241742240.77976537
37,ENEV3.SA,48.30214860654149,14.279999732971191,183.31976238701748,2.8519389629364014,59.260964865930724,55.25574896548199,15.880000114440918,199.13343811035156,3.450000047683716,65.86060626722728,38.956372482135684,11.920000076293945,170.03571130761344,2.125,49.7585527460007,45.70285922893579,14.149999618530273,182.2570343017578,2.8519389629364014,57.00116525479722,170409679.2173913,12374914.0,733433200.0,1630823.0,223909990.28540888
38,EQTL3.SA,10.98010176648799,8.226424662484252,33.10257941756198,1.1173042462882918,9.638434505924181,12.262680829937556,9.138655610012286,34.007019581915515,1.3345589330426846,10.541671170557027,9.96397385502134,7.871668073221085,29.655164250554947,0.9035620890041696,8.856167574136881,11.242139343005508,8.226425170898438,33.102577209472656,1.1084541082382202,9.799602835055522,318811807.7910448,352671220.0,704055456.0,41153965.0,182499661.30345646
39,EVEN3.SA,4.944110230589436,4.863171217297803,11.126127113811807,1.3886116325481879,2.1045050565650696,5.899437773934008,5.368889072963169,13.9617751426641,1.955392082176053,2.4606330798088614,4.057277625194787,3.6794544124010384,7.940986137839909,1.0995536561932113,1.6286539746676145,4.92640508900226,4.793626308441162,11.227144241333008,1.4112828969955444,2.107839838542006,82239093.77464789,71289100.0,184670100.0,13113900.0,45761168.400478505
40,EZTC3.SA,12.020095965265089,10.520721479873124,42.94849633563789,0.8705462970833767,8.741719765477809,14.186833380808698,12.29798791352577,50.57548378588424,0.9553880595774374,10.490831503153547,10.093074253565936,10.240671250780283,28.719218189589167,0.6160220779467495,6.748067154748796,12.078329868719612,10.742255210876465,43.0729866027832,0.8668579459190369,8.656462463741683,67695162.0,39636960.0,190819600.0,13736196.0,54094649.3186676
41,FIBR3.SA,26.473170639155846,23.701534271240234,70.56598244800462,11.735288579200883,11.325684953092773,28.84912829408792,23.701534271240234,76.2966090099468,13.264181144339545,13.282031963364947,24.807737363765696,23.701534271240234,66.93000030517578,10.198131588990872,10.890770108209878,27.029903461406757,23.701534271240234,70.37029266357422,11.462568283081055,12.263124005665848,54232665.571428575,18817100.0,187287367.0,0.0,55256844.7290843
42,FLRY3.SA,11.226029150304072,12.097522867283635,22.57241390202197,4.095246315002441,5.667688218949716,12.570139148295084,13.563410753655447,24.840584732960394,4.883118696675222,6.315306197853819,9.999088507284366,11.285910743793723,19.071552889427448,3.9051102634805206,4.961310533901916,11.313251456276316,12.064287185668945,22.165834426879883,4.139123916625977,5.557187788979023,95156176.13114753,90664360.0,235645885.0,14835756.0,63311333.57442646
43,GEPA4.SA,12.531161987876358,14.33836317062378,25.31089519237935,1.719728469848633,7.636053716059762,13.775560331170125,15.770166242626352,29.82765769958496,1.9473403692245481,8.290427826115822,11.518565682863317,13.027324907178173,24.117791416549384,1.621097207069397,7.091958137363235,12.799914945363998,14.892023086547852,26.153804779052734,1.7703086137771606,7.742838551783257,81221.96,43005.0,2147300.0,0.0,216869.1952778983
44,GFSA3.SA,3249.391804104047,2013.1476052926766,12031.629629987425,0.05062031000852585,3689.2792547968534,4031.8524834391137,2598.739765136018,15368.611963043832,0.05062031000852585,4392.793247194606,2591.2458491537527,1641.8357065125529,10041.761954881275,0.05062031000852585,3053.878888310947,3231.5318449253955,2006.10498046875,12031.62890625,0.05062031000852585,3656.7054676430507,2050442.4186046512,322717.5,22753318.0,0.0,4401047.646409668
45,GGBR4.SA,120.96318737860703,8.546488979128805,1332.4857177734375,1.2709340423614948,305.2651807391583,151.97662658811672,9.80821696251807,1409.507886800986,1.8279267985486678,372.15899283895203,95.70738656173535,7.250042860172439,1124.56659241628,1.0398552611356657,253.1934247620402,119.0241186451912,8.489850521087646,1332.4857177734375,1.2682384252548218,305.12925757471476,617602459.91,488878110.0,3926523114.0,0.0,573381980.9184706
46,GOAU4.SA,9.42139040224126,7.681083477486782,127.44200134277344,0.23209525406725198,16.96267998783298,10.872802234720432,9.091820828892526,139.1608384076287,0.2933684599270262,18.369100263906024,7.0291216669610295,6.572377017475715,111.32858471492368,0.21610467436376946,11.316325619553382,8.228448528498411,7.692576169967651,117.18804168701172,0.23488028347492218,12.06938398605967,345581148.88,74254950.0,1869872700.0,19562.0,413129289.14080685
47,HAPV3.SA,122.22580821290339,92.21741247695367,230.12728462208045,39.14999771118164,61.51091157412206,143.71891790647925,127.19999694824219,276.46010269427967,63.14999771118164,67.51878346497284,98.90851832966266,79.94999694824219,211.27056252159957,28.94999885559082,57.00184833778783,120.1051156785753,91.95215606689453,230.5721893310547,33.45000076293945,63.119958585101394,152906163.74074075,72196346.0,435172174.0,22918117.0,135590892.01375097
48,HYPE3.SA,19.36490733839938,18.679806173706158,41.89738082885742,4.511401674970351,9.507001163838416,22.006233176414106,20.98161468883456,45.35822194455538,5.021144198409811,10.232741779478049,17.042644090408945,15.807518005371094,35.98661081021889,3.155553218982551,8.407270114983973,19.532436157340435,18.737171173095703,41.42915725708008,4.497530937194824,9.339288815800165,177447771.41791046,176784700.0,436648600.0,9268000.0,82840942.07964969
49,INEP4.SA,9.822954264879227,6.199927568435669,53.5,0.5625,10.552516980212003,11.98441555738449,7.91069221496582,53.5,0.7850000262260437,11.784747585591125,7.557669987976551,4.200000047683716,33.5,0.41999998688697815,8.170036564087267,9.259168741106986,5.610662460327148,36.749969482421875,0.5600000023841858,9.593083584466493,3614795.44,2820750.0,19027900.0,23580.0,3976866.8197205532
